[ 2026-02-08 20:50:01,554 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2026-02-08 20:50:01,554 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2026-02-08 20:50:03,939 ] 17 root - INFO - Initiate the data ingestion
[ 2026-02-08 20:52:32,570 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-08 20:52:32,570 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-08 20:52:32,570 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-08 20:52:32,742 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-08 20:52:32,744 ] 19 root - INFO - Data initiation completed
[ 2026-02-08 20:52:32,744 ] 23 root - INFO - Initiate the data Validation
[ 2026-02-08 20:52:32,869 ] 32 root - INFO - Required number of columns:2
[ 2026-02-08 20:52:32,869 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-08 20:52:32,869 ] 32 root - INFO - Required number of columns:2
[ 2026-02-08 20:52:32,869 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-08 20:52:33,359 ] 25 root - INFO -  Data validation completed 
[ 2026-02-08 20:52:33,360 ] 28 root - INFO - data Transformation started
[ 2026-02-08 20:52:33,360 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-02-08 20:52:33,360 ] 65 root - INFO - Starting data transformation
[ 2026-02-08 20:52:33,420 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-02-08 20:52:33,420 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-08 20:52:33,437 ] 32 root - INFO - data Transformation completed
