[ 2026-02-08 03:58:24,671 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2026-02-08 03:58:24,671 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2026-02-08 03:58:27,529 ] 16 root - INFO - Initiate the data ingestion
[ 2026-02-08 03:58:34,249 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-08 03:58:34,249 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-08 03:58:34,250 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-08 03:58:34,449 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-08 03:58:34,449 ] 18 root - INFO - Data initiation completed
[ 2026-02-08 03:58:34,459 ] 22 root - INFO - Initiate the data Validation
[ 2026-02-08 03:58:34,612 ] 32 root - INFO - Required number of columns:2
[ 2026-02-08 03:58:34,613 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-08 03:58:34,613 ] 32 root - INFO - Required number of columns:2
[ 2026-02-08 03:58:34,613 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-08 03:58:35,399 ] 24 root - INFO -  Data validation completed 
